,ANESTESISTA,PROCEDIMENTO,DURACAO_ANESTESIA
0,Alex Allen,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,25.0
1,Alex Allen,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,24.016666666666666
2,Alex Allen,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,13.588888888888889
3,Alex Allen,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,50.333333333333336
4,Alex Allen,FIXADOR PELVICO,55.0
5,Alex Allen,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,45.0
6,Alex Allen,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),27.37142857142857
7,Alex Allen,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,55.0
8,Alex Allen,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,36.0
9,Alex Allen,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,15.4
10,Alex Allen,RETIRADA DE PLACA E/OU PARAFUSOS,33.0
11,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO,25.116666666666667
12,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),46.06666666666666
13,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,25.0
14,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,40.5
15,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,28.605555555555554
16,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,20.066666666666666
17,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,45.675
18,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,33.47916666666667
19,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,29.3
20,Alex Allen,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,48.31666666666666
