,ANESTESISTA,PROCEDIMENTO,DURACAO_ANESTESIA
0,Alex Allen,ARTROPLASTIA PARCIAL DE QUADRIL,4.483333333333333
1,Alex Allen,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,51.044444444444444
2,Alex Allen,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,40.0
3,Alex Allen,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,40.0
4,Alex Allen,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),30.0
5,Alex Allen,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,44.0
6,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,26.366666666666667
7,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,43.15
8,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,92.26666666666668
9,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,50.0
10,Alex Allen,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,43.05416666666667
11,Alex Allen,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,34.0
12,Alexis Smith,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,0.0
13,Amy Dunn,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,30.0
14,Amy Dunn,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,15.0
15,Amy Dunn,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),70.4
16,Amy Powell,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,4.916666666666667
17,Ana Brown,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,40.96666666666667
18,Ana Brown,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,45.0
19,Ana Brown,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,34.398039215686275
20,Ana Brown,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,44.483333333333334
21,Ana Brown,DEBRIDAMENTO DE ULCERA / NECROSE,40.0
22,Ana Brown,RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR,42.0
23,Ana Brown,RETIRADA DE FIXADOR EXTERNO,45.0
24,Ana Brown,RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO DE GRANDES ARTICULAÇÕES (OMBRO / COTOVELO / QUADRIL / JOELHO),50.0
25,Ana Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),31.25
26,Ana Brown,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,62.5
27,Ana Brown,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),60.05
28,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,15.0
29,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,27.333333333333332
30,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,56.020833333333336
31,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,25.0
32,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,47.694444444444436
33,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,59.029999999999994
34,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,58.0
35,Andrew Rose,ARTROPLASTIA PARCIAL DE QUADRIL,37.0
36,Andrew Rose,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,32.49583333333334
37,Andrew Rose,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA,15.0
38,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO COXOFEMORAL C/ FRATURA DA EPÍFISE FEMORAL,45.0
39,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,45.0
