,CIRURGIAO,PROCEDIMENTO,DURACAO_CIRURGIA
0,Jared Santos,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,62.66666666666667
1,Jared Santos,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,46.6
2,Jared Santos,ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR,221.0
3,Jared Santos,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,77.23333333333333
4,Jared Santos,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE PEQUENAS ARTICULAÇÕES,0.0
5,Jared Santos,FASCIOTOMIA DE MEMBROS SUPERIORES,50.0
6,Jared Santos,MICRONEUROLISE DE NERVO PERIFERICO,112.96666666666667
7,Jared Santos,MICRONEURORRAFIA,77.5
8,Jared Santos,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ,72.16666666666667
9,Jared Santos,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,105.55
10,Jared Santos,RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO,116.4
11,Jared Santos,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,122.0
12,Jared Santos,REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS,40.0
13,Jared Santos,RESSECÇÃO DE CISTO SINOVIAL,74.33333333333333
14,Jared Santos,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,53.0
15,Jared Santos,RETIRADA DE PLACA E/OU PARAFUSOS,77.15648148148148
16,Jared Santos,TENOMIORRAFIA,72.52424242424242
17,Jared Santos,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,61.758333333333326
18,Jared Santos,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,84.0
19,Jared Santos,TENÓLISE,113.2
20,Jared Santos,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,62.1125
21,Jared Santos,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,83.55
22,Jared Santos,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,89.6
23,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),127.1625
24,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,46.0
25,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,73.07333333333334
26,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,78.45612535612536
27,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,85.0
28,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),290.0
29,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,91.50333333333333
30,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,56.58125
31,Jared Santos,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,49.18939393939393
32,Jared Santos,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,33.333333333333336
33,Jared Santos,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,40.0
34,Jared Santos,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,75.21190476190476
35,Jared Santos,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,72.63194444444444
36,Jared Santos,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,55.833333333333336
37,Jared Santos,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA MÃO,80.0
38,Jared Santos,TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO,118.62916666666666
39,Jared Santos,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,117.5
40,Jared Santos,VIDEOARTROSCOPIA,38.0
41,Lauren Krueger,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,120.0
42,Lauren Krueger,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),92.0
43,Lauren Krueger,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,148.0
44,Lauren Krueger,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS),97.0
45,Lauren Krueger,MICRONEURORRAFIA,65.0
46,Lauren Krueger,NEURORRAFIA,53.105555555555554
47,Lauren Krueger,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ,63.333333333333336
48,Lauren Krueger,RETIRADA DE PLACA E/OU PARAFUSOS,84.08888888888889
49,Lauren Krueger,TENOMIORRAFIA,71.18333333333334
50,Lauren Krueger,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA,21.83333333333333
51,Lauren Krueger,TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA,20.0
52,Lauren Krueger,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,80.0
53,Lauren Krueger,TRATAMENTO CIRÚRGICO DE DEDO EM GATILHO,30.0
54,Lauren Krueger,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),87.93888888888888
55,Lauren Krueger,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,69.64166666666667
56,Lauren Krueger,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,70.92592592592592
57,Lauren Krueger,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,46.0
58,Lauren Krueger,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,90.35
59,Lauren Krueger,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,15.0
60,Lauren Krueger,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,85.0
61,Miranda Spencer,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,105.0
62,Miranda Spencer,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,100.0
63,Miranda Spencer,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,55.0
64,Miranda Spencer,ARTRODESE DE PEQUENAS ARTICULAÇÕES,90.55
65,Miranda Spencer,ARTROPLASTIA DE RESSECÇÃO DE PEQUENAS ARTICULAÇÕES,80.85
66,Miranda Spencer,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,52.21666666666666
67,Miranda Spencer,DEBRIDAMENTO DE ULCERA / NECROSE,184.0
68,Miranda Spencer,ENXERTO DERMO-EPIDERMICO,75.25
69,Miranda Spencer,ENXERTO LIVRE DE PELE TOTAL,54.0
70,Miranda Spencer,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO,79.56333333333333
71,Miranda Spencer,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,64.93333333333334
72,Miranda Spencer,FASCIECTOMIA,145.0
73,Miranda Spencer,MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE,46.65238095238095
74,Miranda Spencer,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA,58.5
75,Miranda Spencer,MICRONEUROLISE DE NERVO PERIFERICO,93.36166666666666
76,Miranda Spencer,MICRONEURORRAFIA,74.4211111111111
77,Miranda Spencer,NEURORRAFIA,77.51666666666667
78,Miranda Spencer,OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ,146.20833333333331
79,Miranda Spencer,PREPARO DE RETALHO,49.0
80,Miranda Spencer,REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO,90.0
81,Miranda Spencer,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,120.0
82,Miranda Spencer,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,83.0
83,Miranda Spencer,RESSECÇÃO DE CISTO SINOVIAL,0.0
84,Miranda Spencer,RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES,43.18333333333333
85,Miranda Spencer,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,78.22777777777777
86,Miranda Spencer,RETIRADA DE PLACA E/OU PARAFUSOS,77.09774774774775
87,Miranda Spencer,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,88.71666666666667
88,Miranda Spencer,TENODESE,65.0
89,Miranda Spencer,TENOMIORRAFIA,89.96531531531532
90,Miranda Spencer,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,78.50833333333334
91,Miranda Spencer,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,58.628205128205124
92,Miranda Spencer,TENÓLISE,209.0
93,Miranda Spencer,TRANSPOSICAO DO NERVO CUBITAL,40.0
94,Miranda Spencer,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,14.416666666666666
95,Miranda Spencer,TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA,10.0
96,Miranda Spencer,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,100.5
97,Miranda Spencer,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,89.82666666666667
98,Miranda Spencer,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),58.225
99,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),134.11111111111111
100,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,55.0
101,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,76.36190476190475
102,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,69.07948717948719
103,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,45.0
104,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),65.0
105,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,65.6125
106,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,73.21833333333333
107,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI,70.0
108,Miranda Spencer,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,57.180952380952384
109,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,50.0
110,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,99.89166666666665
111,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,62.08
112,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,125.0
113,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,59.954166666666666
114,Miranda Spencer,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,48.68333333333334
115,Miranda Spencer,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA MÃO,62.125
116,Miranda Spencer,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ANTEBRAÇO,75.0
117,Miranda Spencer,TRATAMENTO CIRÚRGICO DE PSEUDO-RETARDO / CONSOLIDAÇÃO / PERDA ÓSSEA AO ÍIVEL DO CARPO,51.0
118,Miranda Spencer,TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO,340.47499999999997
119,Miranda Spencer,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,52.79166666666667
120,Miranda Spencer,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA,20.133333333333333
121,Sharon Wallace,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,132.61111111111111
122,Sharon Wallace,AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES,77.81666666666666
