,CIRURGIAO,PROCEDIMENTO,DURACAO_CIRURGIA
0,Julie Smith,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,165.33333333333334
1,Julie Smith,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,67.5
2,Julie Smith,ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR,77.5
3,Julie Smith,EXERESE DE CISTO SACRO-COCCIGEO,77.0
4,Julie Smith,MICRONEUROLISE DE NERVO PERIFERICO,35.0
5,Julie Smith,REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO TARSO-METATARSICA,10.0
6,Julie Smith,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,62.666666666666664
7,Julie Smith,RETIRADA DE FIXADOR EXTERNO,25.0
8,Julie Smith,RETIRADA DE PLACA E/OU PARAFUSOS,70.5
9,Julie Smith,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,17.0
10,Julie Smith,TENOMIORRAFIA,53.95
11,Julie Smith,TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA,25.0
12,Julie Smith,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,94.98333333333332
13,Julie Smith,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,78.38472222222222
14,Julie Smith,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,103.06666666666666
15,Julie Smith,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,20.366666666666667
16,Julie Smith,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,131.11666666666667
17,Julie Smith,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,70.0
18,Julie Smith,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO),35.825
19,Julie Smith,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,38.0
20,Julie Smith,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,8.866666666666667
21,Julie Smith,TRATAMENTO DAS LESÕES OSTEO-CONDRAIS POR FIXAÇÃO OU MOSAICOPLASTIA JOELHO/TORNOZELO,70.0
22,Kevin Johnson,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,92.01666666666668
23,Kevin Johnson,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,87.0
24,Kevin Johnson,ARTRODESE DE PEQUENAS ARTICULAÇÕES,70.0
25,Kevin Johnson,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,25.0
26,Kevin Johnson,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,61.55555555555555
27,Kevin Johnson,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,82.86666666666666
28,Kevin Johnson,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,57.25637254901961
29,Kevin Johnson,DEBRIDAMENTO DE ULCERA / NECROSE,30.683333333333334
30,Kevin Johnson,DRENAGEM DE ABSCESSO,63.7
31,Kevin Johnson,DRENAGEM LIQUÓRICA LOMBAR EXTERNA,30.53333333333333
32,Kevin Johnson,OSTECTOMIA DE OSSOS DA MÃO E/OU DO PÉ,32.0
33,Kevin Johnson,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,10.0
34,Kevin Johnson,RECONSTRUCAO LIGAMENTAR DO TORNOZELO,18.216666666666665
35,Kevin Johnson,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,118.18333333333334
36,Kevin Johnson,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,30.0
37,Kevin Johnson,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,91.31666666666666
38,Kevin Johnson,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,70.0
39,Kevin Johnson,REDUÇÃO INCRUENTA DE LUXAÇÃO / FRATURA-LUXAÇÃO DO COTOVELO,20.0
40,Kevin Johnson,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,33.333333333333336
41,Kevin Johnson,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,46.0
42,Kevin Johnson,RESSECÇÃO DE CISTO SINOVIAL,46.0
43,Kevin Johnson,RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO,26.0
44,Kevin Johnson,RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO,25.0
45,Kevin Johnson,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,49.3
46,Kevin Johnson,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,54.55555555555555
47,Kevin Johnson,RETIRADA DE FIXADOR EXTERNO,86.73333333333333
48,Kevin Johnson,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,15.0
49,Kevin Johnson,RETIRADA DE PLACA E/OU PARAFUSOS,62.21
50,Kevin Johnson,TENOMIORRAFIA,62.88229166666667
51,Kevin Johnson,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,60.0
52,Kevin Johnson,TENÓLISE,32.28333333333333
53,Kevin Johnson,TRANSFERENCIA MUSCULAR / TENDINOSA NO MEMBRO INFERIOR,11.0
54,Kevin Johnson,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,65.0
55,Kevin Johnson,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,97.71666666666668
56,Kevin Johnson,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,122.83333333333331
57,Kevin Johnson,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),31.475
58,Kevin Johnson,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,42.0
59,Kevin Johnson,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR,68.0
60,Kevin Johnson,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,44.65
61,Kevin Johnson,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,113.6
62,Kevin Johnson,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,56.355555555555554
63,Kevin Johnson,TRATAMENTO CIRÚRGICO DA AVULSÃO DE TUBEROSIDADES / ESPINHAS E CRISTA ILÍACA S/ LESÃO DO ANEL PÉLVICO,38.25555555555555
64,Kevin Johnson,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),100.0
65,Kevin Johnson,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),84.64791666666667
66,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),57.217708333333334
67,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,48.0
68,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,62.98846153846154
69,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,32.916666666666664
70,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,53.968817204301075
71,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,72.2530303030303
72,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,62.70925925925926
73,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,67.34814814814814
74,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,52.895
75,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,66.44444444444444
76,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),71.57916666666667
77,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,60.27037037037038
78,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,55.0
79,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,46.73095238095238
80,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,74.1
81,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,60.0
82,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,50.1125
83,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,42.92307692307692
84,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,47.775925925925925
85,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA AO NÍVEL DO JOELHO,93.0
86,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,46.5
87,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA SUPRACONDILEANA DO FÊMUR (METÁFISE DISTAL),33.5
88,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,73.59444444444445
89,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ,35.0
